No,Facility_nm,Location_nm,Facility_Type,OffDay,DayOpenTIme,DayEndTime,EndOpenTime,EndEndTime,Cost,Capacity,Size,Internal_Info,Regi_Method,Image,Loc_Address,Loc_New_Address,POC_nm,POC_num,Lat,Lng,UpdateDate,Supplier_code,Supplier_nm,address1,address2,jibun_address,road_address
11,올림픽기념국민생활관,올림픽기념국민생활관,체육관,법정공휴일,7:00,21:00,10:00,17:00,Y,30,288,,유선+방문,,서울특별시 종로구 성균관로91,,종로구시설관리공단,02-745-6701,37.5904592,126.9987998,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 혜화동 1-21,서울특별시 종로구 성균관로 91
12,종로문화체육센터,종로문화체육센터,체육관,법정공휴일,7:00,21:00,9:00,17:00,Y,100,734,,유선+방문,,서울특별시 종로구 인왕산로1길 21,,종로구시설관리공단,02-732-9392,37.57421081,126.964648,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 사직동 284-1,서울특별시 종로구 인왕산로1길 21
13,종로문화체육센터,종로문화체육센터,체육관,법정공휴일,7:00,21:00,9:00,17:00,Y,30,193,,유선+방문,,서울특별시 종로구 인왕산로1길 21,,종로구시설관리공단,02-732-9392,37.57421081,126.964648,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 사직동 284-1,서울특별시 종로구 인왕산로1길 21
14,삼청테니스장,삼청테니스장,테니스장,법정공휴일,7:00,21:00,0:00,0:00,Y,4,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
15,삼청테니스장,삼청테니스장,테니스장,법정공휴일,0:00,0:00,7:00,18:00,Y,4,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
16,삼청테니스장,삼청테니스장,테니스장,법정공휴일,7:00,21:00,0:00,0:00,Y,16,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
17,중구청소년수련관,중구청소년수련관,체육관,"매월 둘째일요일, 명절공휴일",8:00,22:00,8:00,18:00,Y,400,,,방문,http://www.j-youth.org,서울특별시 중구 동호로5길 19,서울특별시 중구 신당동 844-1,중구청소년수련관,02-2250-0513,37.551869,127.0125774,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 신당동 844-5,서울특별시 중구 동호로5길 19
18,훈련원공원종합체육관,훈련원공원종합체육관,체육관,"둘째, 넷째 월요일",6:00,22:00,6:00,22:00,Y,400,624,책상3개+의자20개+유무선마이크각1개,방문,https://www.e-junggu.or.kr/new/culturegym/hunlyunwon/introduction.asp,서울특별시 중구 을지로227,서울특별시 중구 을지로5가 40-3,서울특별시 중구시설관리공단,02-2280-8397,37.5656854,127.0037006,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 광희동1가 23-1,서울특별시 중구 광희동1가 을지로38길 19-4
19,무학봉체육관,무학봉체육관,체육관,"둘째, 넷째 월요일",6:00,22:00,6:00,22:00,Y,70,591,,방문,https://www.e-junggu.or.kr/new/culturegym/muhakbong/introduction.asp,서울특별시 중구 난계로6길 8,서울특별시 중구 신당동 산12-75,서울특별시 중구시설관리공단,02-2280-8426,37.5622347,127.0245439,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 신당동 산 12-75,서울특별시 중구 난계로6길 8
20,손기정체육센터,손기정체육센터,축구장,"매월 둘째, 넷째주 일요일, (대체)공휴일",7:00,21:00,9:00,18:00,Y,22,3456,,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/introduction_06.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
21,손기정체육센터,손기정체육센터,테니스장,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:00,18:00,Y,8,1293,,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/introduction_05.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
22,손기정체육센터,손기정체육센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:00,18:00,Y,20,113,음향장비,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/rentInfo_02.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
23,손기정체육센터,손기정체육센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:00,18:00,Y,20,132,음향장비,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/rentInfo_02.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
24,회현체육센터,회현체육센터,골프장,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,,617,,방문,https://www.e-junggu.or.kr/new/culturegym/hoehyeon/introduction.asp,서울특별시 중구 퇴계로 12길 78,서울특별시 중구 회현동1가 115,서울특별시 중구시설관리공단,02-2280-8430,37.556268,126.9816226,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 회현동1가 115,서울특별시 중구 회현동1가 퇴계로12길 77
25,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,,280,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_10.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
26,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",9:00,18:00,9:30,18:00,Y,,392,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_08.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
27,충무스포츠센터,충무스포츠센터,골프장,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,,1903,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_03.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
28,회현체육센터,회현체육센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,20,169,음향장비,방문,https://www.e-junggu.or.kr/new/culturegym/hoehyeon/introduction.asp,서울특별시 중구 퇴계로 12길 78,서울특별시 중구 회현동1가 115,서울특별시 중구시설관리공단,02-2280-8430,37.556268,126.9816226,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 회현동1가 115,서울특별시 중구 회현동1가 퇴계로12길 77
29,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",9:00,18:00,9:30,18:00,Y,300,1065,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_07.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
30,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",8:00,22:00,9:30,18:00,Y,50,238,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_06.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
31,중구청소년수련관,중구청소년수련관,체육관,"매월 둘째일요일, 명절공휴일",8:00,22:00,8:00,18:00,Y,400,,,방문,http://www.j-youth.org,서울특별시 중구 동호로5길 19,서울특별시 중구 신당동 844-1,중구청소년수련관,02-2250-0513,37.551869,127.0125774,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 신당동 844-5,서울특별시 중구 동호로5길 19
32,훈련원공원종합체육관,훈련원공원종합체육관,체육관,"둘째, 넷째 월요일",6:00,22:00,6:00,22:00,Y,400,624,책상3개+의자20개+유무선마이크각1개,방문,https://www.e-junggu.or.kr/new/culturegym/hunlyunwon/introduction.asp,서울특별시 중구 을지로227,서울특별시 중구 을지로5가 40-3,서울특별시 중구시설관리공단,02-2280-8397,37.5656854,127.0037006,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 광희동1가 23-1,서울특별시 중구 광희동1가 을지로38길 19-4
33,무학봉체육관,무학봉체육관,체육관,"둘째, 넷째 월요일",6:00,22:00,6:00,22:00,Y,70,591,,방문,https://www.e-junggu.or.kr/new/culturegym/muhakbong/introduction.asp,서울특별시 중구 난계로6길 8,서울특별시 중구 신당동 산12-75,서울특별시 중구시설관리공단,02-2280-8426,37.5622347,127.0245439,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 신당동 산 12-75,서울특별시 중구 난계로6길 8
34,손기정체육센터,손기정체육센터,축구장,"매월 둘째, 넷째주 일요일, (대체)공휴일",7:00,21:00,9:00,18:00,Y,22,3456,,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/introduction_06.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
35,손기정체육센터,손기정체육센터,테니스장,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:00,18:00,Y,8,1293,,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/introduction_05.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
36,손기정체육센터,손기정체육센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:00,18:00,Y,20,113,음향장비,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/rentInfo_02.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
37,손기정체육센터,손기정체육센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:00,18:00,Y,20,132,음향장비,전화예약,https://www.e-junggu.or.kr/new/culturegym/songijeong/rentInfo_02.asp,서울특별시 중구 손기정로 101(만리동2가),서울특별시 중구 만리동2가 6-1,서울특별시 중구시설관리공단,02-2280-8450,37.5556694,126.962361,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 만리동2가 44-5,서울특별시 마포구 손기정로12길 5-1
38,회현체육센터,회현체육센터,골프장,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,,617,,방문,https://www.e-junggu.or.kr/new/culturegym/hoehyeon/introduction.asp,서울특별시 중구 퇴계로 12길 78,서울특별시 중구 회현동1가 115,서울특별시 중구시설관리공단,02-2280-8430,37.556268,126.9816226,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 회현동1가 115,서울특별시 중구 회현동1가 퇴계로12길 77
39,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,,280,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_10.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
40,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",9:00,18:00,9:30,18:00,Y,,392,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_08.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
41,충무스포츠센터,충무스포츠센터,골프장,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,,1903,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_03.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
42,회현체육센터,회현체육센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",6:00,22:00,9:30,18:00,Y,20,169,음향장비,방문,https://www.e-junggu.or.kr/new/culturegym/hoehyeon/introduction.asp,서울특별시 중구 퇴계로 12길 78,서울특별시 중구 회현동1가 115,서울특별시 중구시설관리공단,02-2280-8430,37.556268,126.9816226,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 회현동1가 115,서울특별시 중구 회현동1가 퇴계로12길 77
43,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",9:00,18:00,9:30,18:00,Y,300,1065,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_07.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
44,충무스포츠센터,충무스포츠센터,체육관,"매월 둘째, 넷째주 일요일, (대체)공휴일",8:00,22:00,9:30,18:00,Y,50,238,,방문,https://www.e-junggu.or.kr/new/images/culturegym/chungmu/center_06.jpg,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,서울특별시 중구시설관리공단,02-2280-8400,37.566062,127.0148131,2020-02-06,B552067,서울특별시중구시설관리공단,서울특별시,중구,서울특별시 중구 흥인동 131,서울특별시 중구 퇴계로 387
45,보광동주민센터,4층 체육실,체육관,"토, 일, 공휴일",14:00,20:00,0:00,0:00,Y,40,155,,인터넷+전화+방문,,서울특별시 용산구 장문로 95,,보광동주민센터,02-2199-8706,37.526301,127.000181,2020-10-16,3020000,서울특별시 용산구,서울특별시,용산구,서울특별시 용산구 보광동 217-50,서울특별시 용산구 장문로 95
46,보광동주민센터,4층 체육실,체육관,"토, 일, 공휴일",14:00,20:00,0:00,0:00,Y,40,155,,인터넷+전화+방문,,서울특별시 용산구 장문로 95,,보광동주민센터,02-2199-8706,37.526301,127.000181,2020-10-16,3020000,서울특별시 용산구,서울특별시,용산구,서울특별시 용산구 보광동 217-50,서울특별시 용산구 장문로 95
47,영등포구 대림1동 복지관(4층) 체육관,대림1동자치회관,체육관,일요일,9:00,22:00,11:00,18:00,Y,50,234,강당,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414101037044290,서울특별시 영등포구 대림동 디지털로 441 구립대림제1동복지관,서울특별시 영등포구 대림동 899-2,서울특별시 영등포구청,02-2670-1392,37.4953778,126.9062234,2021-05-17,3180000,서울특별시 영등포구,서울특별시,영등포구,서울특별시 영등포구 대림동 899-2,서울특별시 영등포구 디지털로 441
48,영등포구 대림1동 복지관(4층) 체육관,대림1동자치회관,체육관,일요일,9:00,22:00,11:00,18:00,Y,50,234,강당,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414101037044290,서울특별시 영등포구 대림동 디지털로 441 구립대림제1동복지관,서울특별시 영등포구 대림동 899-2,서울특별시 영등포구청,02-2670-1392,37.4953778,126.9062234,2021-05-17,3180000,서울특별시 영등포구,서울특별시,영등포구,서울특별시 영등포구 대림동 899-2,서울특별시 영등포구 디지털로 441
49,실내체육관주경기장,실내체육관,체육관,연중무휴,6:00,18:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
50,실내체육관보조경기장,실내체육관,체육관,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
51,실내체육관주경기장,실내체육관,체육관,연중무휴,6:00,18:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
52,실내체육관보조경기장,실내체육관,체육관,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
53,실내체육관주경기장,실내체육관,체육관,연중무휴,6:00,18:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
54,실내체육관보조경기장,실내체육관,체육관,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
55,실내체육관주경기장,실내체육관,체육관,연중무휴,6:00,18:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
56,실내체육관보조경기장,실내체육관,체육관,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021-03-23,6260000,부산광역시,부산광역시,동래구,부산광역시 동래구 사직동 930-2,부산광역시 동래구 사직로 55-32
57,선동잔디구장,선동잔디구장,다목적경기장,연중무휴,8:00,18:00,8:00,18:00,Y,100,7140,주차장,인터넷+전화,,,부산광역시 금정구 선동 998-1,부산광역시 금정구청,051-519-4121,35.2710924,129.1124543,2020-10-23,3350000,부산광역시 금정구,부산광역시,금정구,부산광역시 금정구 선동 998-1,부산광역시 금정구 상현로79번길 85
58,금정구민운동장,금정구민운동장,다목적경기장,연중무휴,8:00,18:00,8:00,18:00,Y,300,20615,주차장,인터넷+전화,,,부산광역시 금정구 두구동 1482-2,부산광역시 금정구청,051-519-4121,35.2785803,129.1044633,2020-10-23,3350000,부산광역시 금정구,부산광역시,금정구,부산광역시 금정구 두구동 1482-2,부산광역시 금정구 고분로 148
59,금정구민체육관,금정구민체육관,체육관,매주 수요일,6:00,22:00,6:00,22:00,Y,100,1139,주차장,인터넷+전화,,부산광역시 금정구 체육공원로44번길 26,부산광역시 금정구 구서동 산57-12,부산광역시 금정구청,051-516-4426,35.24710743,129.0984812,2020-10-23,3350000,부산광역시 금정구,부산광역시,금정구,부산광역시 금정구 구서동 74-6,부산광역시 금정구 체육공원로44번길 26
60,선동잔디구장,선동잔디구장,다목적경기장,연중무휴,8:00,18:00,8:00,18:00,Y,100,7140,주차장,인터넷+전화,,,부산광역시 금정구 선동 998-1,부산광역시 금정구청,051-519-4121,35.2710924,129.1124543,2020-10-23,3350000,부산광역시 금정구,부산광역시,금정구,부산광역시 금정구 선동 998-1,부산광역시 금정구 상현로79번길 85
61,금정구민운동장,금정구민운동장,다목적경기장,연중무휴,8:00,18:00,8:00,18:00,Y,300,20615,주차장,인터넷+전화,,,부산광역시 금정구 두구동 1482-2,부산광역시 금정구청,051-519-4121,35.2785803,129.1044633,2020-10-23,3350000,부산광역시 금정구,부산광역시,금정구,부산광역시 금정구 두구동 1482-2,부산광역시 금정구 고분로 148
62,금정구민체육관,금정구민체육관,체육관,매주 수요일,6:00,22:00,6:00,22:00,Y,100,1139,주차장,인터넷+전화,,부산광역시 금정구 체육공원로44번길 26,부산광역시 금정구 구서동 산57-12,부산광역시 금정구청,051-516-4426,35.24710743,129.0984812,2020-10-23,3350000,부산광역시 금정구,부산광역시,금정구,부산광역시 금정구 구서동 74-6,부산광역시 금정구 체육공원로44번길 26
63,강서체육공원 보조체육관(1층2층),강서체육공원,배드맨턴장,매주 월요일,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1216,35.210957,128.972213,2021-03-23,6260000,부산광역시,부산광역시,강서구,부산광역시 강서구 대저1동 2175-2,부산광역시 강서구 낙동북로 411
